,min_var_weight
AAPL,1.726823988326691e-18
AMGN,1.3244407428176244e-17
AMZN,0.07223089914650521
AXP,4.781040488204229e-18
BA,0.0
CAT,0.0
CRM,1.1752467209865324e-18
CSCO,0.0
CVX,1.3276105981235596e-18
DIS,0.008224161269834709
GS,4.708191897742864e-20
HD,0.0
HON,0.0
IBM,2.499663123893178e-18
JNJ,0.12889561232480787
JPM,0.0
KO,0.13860582190980336
MCD,0.09524756880653665
MMM,0.019083545640762947
MRK,0.05667487321376017
MSFT,6.98129924201688e-19
NKE,0.004504207121970161
NVDA,0.0
PG,0.06846822961518012
SHW,0.0
TRV,1.3845697380767513e-18
UNH,0.0
V,1.4261018028075558e-18
VZ,0.26104535646027677
WMT,0.14701972449056216
