date,A2C,PPO,DDPG,Ensemble
2023-01-04,1001360.1519032607,1000670.6469522169,999484.9588244437,1001360.1519032608
2023-01-05,993435.2557938659,1000146.5406086518,988577.4202033042,993435.255793866
2023-01-06,1004213.0374177042,1003194.8863805584,1005140.4683912275,1004213.0374177042
2023-01-09,1005440.1645428024,1001155.1026174645,1004586.1238313424,1005440.1645428024
2023-01-10,1007481.3462302648,1002076.8460614262,1007667.7109215059,1007481.3462302648
2023-01-11,1020899.7238763551,1003952.9563428457,1019555.3440541361,1020899.7238763552
2023-01-12,1027607.2509857377,1006823.3459805098,1024829.837496751,1027607.2509857377
2023-01-13,1029907.6757243592,1007724.4824127732,1027334.8361173773,1029907.6757243592
2023-01-17,1015013.5154969157,1003050.2771895073,1022310.8136666979,1015013.5154969158
2023-01-18,995820.7697212979,994857.5473580199,1001117.301126017,995820.769721298
2023-01-19,988489.5578924988,990711.5893531344,993800.4836489633,988489.5578924988
2023-01-20,1000062.3348256865,995640.8478957622,1011614.9068252924,1000062.3348256864
2023-01-23,1012349.7127466893,1001455.5574592734,1018260.4947970256,1012349.7127466892
2023-01-24,1009423.1546841238,999824.4894283667,1021557.0884631022,1009423.1546841238
2023-01-25,1007921.6610815069,1000916.2887430529,1023394.0490024711,1007921.6610815068
2023-01-26,1022971.0632288388,1002168.434254094,1020336.2035030401,1022971.0632288388
2023-01-27,1021713.7416705159,1002138.3179523323,1024758.4437347092,1021713.741670516
2023-01-30,1014304.7921930976,989071.0481247888,1018247.1316399588,1014304.7921930978
2023-01-31,1033062.0421462735,1000721.3762661341,1032315.4467741426,1033062.0421462737
2023-02-01,1037989.0498344204,1007635.3087726532,1036564.9159855254,1037989.0498344204
2023-02-02,1041439.4945783658,1015106.7360510905,1035586.9444121511,1041439.494578366
2023-02-03,1030561.6623385567,1006449.5642985551,1026444.0654397001,1030561.6623385568
2023-02-06,1028313.5261606661,1000887.0758244566,1025329.7916335454,1028313.526160666
2023-02-07,1040344.9272139837,1009999.7660295896,1031195.0865752822,1040344.9272139836
2023-02-08,1034583.1865002709,1002639.7353238902,1026490.7547098501,1034583.1865002709
2023-02-09,1028153.3560244809,993213.9065157542,1021880.2294921592,1028153.3560244808
2023-02-10,1030378.8110886284,994132.9936755828,1023802.9037614834,1030378.8110886284
2023-02-13,1046407.6996766018,1006163.933757694,1036007.8013947152,1046407.6996766018
2023-02-14,1042766.0529880348,1001733.7244901197,1033072.8485253602,1042766.0529880348
2023-02-15,1045370.5255738571,1004662.9883156049,1033282.806620239,1045370.5255738574
2023-02-16,1029181.6519603136,991211.3866252799,1018161.7027559988,1029181.6519603136
2023-02-17,1031828.08889614,995301.6004552568,1025450.5001297162,1031828.08889614
2023-02-21,1010124.6867438869,971295.9446542971,1006694.2060701848,1010124.6867438868
2023-02-22,1006763.3343001995,970940.7514076243,1004698.4630251479,1006763.3343001996
2023-02-23,1011366.4157806652,971948.563049281,1008942.2878673195,1011366.4157806652
2023-02-24,999842.2695932875,960122.4058777094,996931.6484595193,999842.2695932876
2023-02-27,1002505.0452389849,963081.4527592927,998335.612284814,1002505.0452389847
2023-02-28,994607.1792210693,958151.1799841872,992539.997280698,994607.1792210692
2023-03-01,995558.0622529082,952956.6526242589,991624.9631199616,995558.0622529082
2023-03-02,1013053.6551326292,960386.2228385971,1005622.1333338504,1013053.6551326292
2023-03-03,1024294.2515579553,976844.6077042508,1015813.0448295344,1024294.2515579554
2023-03-06,1022362.1990211959,981423.881620226,1016129.8226744852,1022362.199021196
2023-03-07,1007930.3473297022,968713.4016465351,1002798.6578165819,1007930.3473297022
2023-03-08,1006744.3901245061,968761.8611306548,999481.828426902,1006744.390124506
2023-03-09,990568.7666908131,952964.4962978042,983939.1226761973,990568.7666908132
2023-03-10,978208.0583306218,945589.5710735647,975515.7005770947,978208.0583306218
2023-03-13,976182.6530662354,949180.676609484,977191.500714834,976182.6530662354
2023-03-14,990853.8289244038,958439.8734264735,990174.069218365,990853.8289244038
2023-03-15,983465.6942744062,956951.3814806431,988128.9715578991,983465.6942744062
2023-03-16,1002710.8976903985,969907.186518408,1003371.6669593612,1002710.8976903984
2023-03-17,991089.8722243705,960791.3468887501,991658.441159918,991089.8722243704
2023-03-20,998239.8287958461,972064.495639096,1001204.8896047266,998239.828795846
2023-03-21,1013142.4188375829,983238.0613997799,1011062.1722432764,1013142.4188375828
2023-03-22,993663.4420102432,965405.8235178083,994051.043818163,993663.4420102432
2023-03-23,996814.2222102842,969088.213328602,994990.2452950033,996814.2222102842
2023-03-24,1001506.3782188719,974176.7885661022,1001410.6985628663,1001506.378218872
2023-03-27,1002273.4511659428,971267.3620764263,1008546.3735494881,1002261.5235202448
2023-03-28,998964.0893882088,967776.5350345402,1002282.2183123732,998958.1916479118
2023-03-29,1010426.7408184157,984400.5053570904,1011786.812968541,1010424.629904664
2023-03-30,1013306.283436938,989799.2597757946,1015881.3224082021,1013283.370087372
2023-03-31,1028082.4910341253,1004322.294512833,1028891.8819938665,1028064.1291068746
2023-04-03,1031686.0993830473,1008544.5301761841,1038921.8951868617,1031671.3774931148
2023-04-05,1024714.424979506,1009465.2891893534,1044539.224452022,1024733.2426155437
2023-04-06,1028011.2057678641,1011306.365617443,1046499.7209762005,1027996.5056685844
2023-04-10,1031202.0487507915,1007804.1017994394,1048489.9322068524,1031218.5996604468
2023-04-11,1030383.2196986713,1005948.1333638809,1048086.193188194,1030441.9584320026
2023-04-12,1032982.9488406857,1001556.2892045834,1045305.3352348679,1033063.2582163226
2023-04-13,1048786.9737931823,1021724.5312250947,1060139.5458026465,1048802.6561260703
2023-04-14,1044426.7999176343,1017653.0510410261,1055479.370460067,1044434.9036789908
2023-04-17,1050315.4074786971,1023569.2796909646,1057433.4422913594,1050350.064726681
2023-04-18,1051054.8684777636,1021395.3452660223,1056225.8943917328,1051138.9625180468
2023-04-19,1053000.2328747264,1029318.3696176015,1050378.9910145202,1053029.079298386
2023-04-20,1047761.1172832432,1023950.2794902477,1046600.9680255654,1047691.2758481489
2023-04-21,1056009.361905763,1023320.8990683863,1048104.0295959472,1055879.0226670364
2023-04-24,1055227.8853886414,1026914.7475218303,1048576.082860724,1055217.8534372183
2023-04-25,1041760.5148460008,1018096.3237208113,1039922.8558586988,1041510.7616868808
2023-04-26,1045267.501835187,1008615.3502314704,1034043.2830140047,1045071.39010272
2023-04-27,1066840.3521403254,1033162.7290996304,1053841.0094098828,1066624.1401044363
2023-04-28,1073534.3350714345,1041284.3516361522,1060229.331113349,1073393.4292164594
2023-05-01,1075843.3233485003,1030742.529212328,1058619.6847653585,1075702.7452089423
2023-05-02,1069978.3034852974,1026567.2472579126,1051454.683883417,1069657.8392472598
2023-05-03,1066337.8347789901,1022474.3193135172,1043436.6331414251,1065946.7901429534
2023-05-04,1058005.8094602432,1010607.8477716884,1036421.8596721132,1057363.874789202
2023-05-05,1074398.8978625878,1034745.3853652487,1052637.751632939,1073962.6412502164
2023-05-08,1073328.938356394,1034247.0540422616,1052045.4292882746,1072875.5258588917
2023-05-09,1069403.6723840528,1027634.347475101,1049674.094964595,1068905.5083164647
2023-05-10,1071729.446593658,1035049.2827852691,1052408.3022033104,1071025.5823154822
2023-05-11,1065968.612208027,1036012.600774551,1044724.6503005605,1065164.68979081
2023-05-12,1061202.557721204,1027399.8578414224,1042635.9191281386,1060221.6875679768
2023-05-15,1061159.033236498,1025167.9131668241,1043299.7064929362,1060246.7718902193
2023-05-16,1052492.6477527074,1015412.6231179,1035104.4004990421,1051304.6170807993
2023-05-17,1060389.840328317,1031556.1371869817,1048185.7961530207,1059547.1275516332
2023-05-18,1069628.770552132,1050555.3403503257,1055134.9498224813,1069005.9447476575
2023-05-19,1059584.936289976,1048537.7074090224,1051626.582319359,1058499.9234085225
2023-05-22,1046475.9830414134,1041851.3802993748,1048610.8561664263,1045112.933325626
2023-05-23,1033978.7100469987,1028993.5795784594,1039214.4647108121,1032633.61583487
2023-05-24,1029115.974794064,1031495.4887482794,1036845.408359146,1027718.104452818
2023-05-25,1032278.6494262164,1027559.1850108407,1038157.8505493122,1030846.5275975805
2023-05-26,1040996.6220218445,1042205.3931898006,1051191.0803352045,1039663.909229286
2023-05-30,1037416.1736200724,1044368.6129366779,1052185.2175946336,1036151.1239828984
2023-05-31,1033480.120350643,1040593.6254278778,1053598.5171165834,1032000.8961026444
2023-06-01,1031253.7462067073,1063066.2381211082,1059607.5786057068,1029610.3627462616
2023-06-02,1051061.6956087502,1082457.1064163644,1077153.5170131815,1049716.8864860376
2023-06-05,1043331.2256826549,1076610.6702366627,1074719.1783086043,1041692.920409162
2023-06-06,1042597.7881234477,1078146.316641831,1071601.686625598,1041286.8196519504
2023-06-07,1034823.7609130684,1074650.008722663,1062367.3470293218,1033736.82738491
2023-06-08,1040234.663844845,1087002.736723508,1071527.6638690752,1038887.1295450326
2023-06-09,1044750.2860293344,1081191.8376908868,1074290.776454665,1043297.250756474
2023-06-12,1048418.0388768567,1098213.1635968008,1080027.0313240765,1047102.1528487398
2023-06-13,1049519.419876929,1104356.5893436803,1084043.9073836715,1048165.4635527604
2023-06-14,1064237.8153311836,1102083.4608411028,1073979.110178691,1063371.8864020407
2023-06-15,1077258.7983684929,1116964.5406554984,1088945.6641557347,1076220.1417731629
2023-06-16,1075066.1217163936,1110647.493573033,1082627.9611652389,1074177.0785484803
2023-06-20,1064084.478180385,1109421.5351008174,1083111.5935743526,1062851.2546568548
2023-06-21,1060156.876955369,1104339.8132717612,1079314.7604444835,1058898.4609935717
2023-06-22,1069500.0873930287,1109761.7986249072,1085201.1502850815,1068085.4979121918
2023-06-23,1060956.0494977052,1108945.5442161402,1078054.4338983495,1059461.041885472
2023-06-26,1060075.412961618,1116215.4243066802,1076605.1888592872,1058931.2083736171
2023-06-27,1070341.9675362373,1133128.7584811852,1085234.1775429607,1069352.4312316335
2023-06-28,1069924.494417873,1133314.652970052,1082252.5137550964,1068870.3343864584
2023-06-29,1071685.8734931992,1146732.0199998093,1089638.4587495863,1070658.7258270304
2023-06-30,1076470.0496826437,1165770.8947974122,1099776.7032021347,1074978.7371941763
2023-07-03,1073814.3983419165,1160962.6461289087,1097623.4758699886,1072249.3540235292
2023-07-05,1069688.2908431706,1146335.673127228,1093034.0637495606,1067990.5586889514
2023-07-07,1048791.2112209476,1133926.0464313845,1074348.9714948325,1047513.7784029212
2023-07-10,1053461.3167670467,1132815.693347829,1079757.3612838963,1051744.9432231158
2023-07-11,1060525.9747811235,1145756.2208483682,1088835.5644742367,1060544.186368782
2023-07-12,1066405.2904944033,1153588.1726341948,1089950.9669228955,1067916.3189696549
2023-07-13,1071215.3402537727,1165081.8541083485,1096084.2690555153,1072195.4481742107
2023-07-14,1072812.5788730723,1166070.7657680102,1107365.109038983,1073231.9185963783
2023-07-17,1075338.5174504695,1167539.9800966508,1109866.8120185342,1074191.7088515742
2023-07-18,1084168.8951723902,1169283.133780086,1121919.2205478114,1084855.0788263555
2023-07-19,1082743.7268539174,1175346.2811280761,1126561.5997229796,1086673.351664019
2023-07-20,1076625.3479210236,1167544.9470318002,1125598.619534024,1080444.2569996133
2023-07-21,1080770.9122010218,1169755.0251625762,1125620.946950439,1084881.5200939414
2023-07-24,1081720.3735969116,1167353.725952724,1125430.3438859875,1086317.7546380362
2023-07-25,1083675.7484324167,1188946.8052178433,1130145.5638833526,1089868.0912507167
2023-07-26,1075394.263060984,1201528.1174223558,1127227.1204414757,1084881.0352277127
2023-07-27,1049733.0371901991,1186672.69734057,1117126.7716980954,1067901.4707993944
2023-07-28,1058401.3067361088,1201891.5155263902,1122984.5538927186,1081184.6025004731
2023-07-31,1060605.9832282327,1195601.195647508,1122272.3108019237,1080539.327233117
2023-08-01,1056583.3877741876,1201265.546022479,1120508.7348389481,1078046.1248253724
2023-08-02,1043541.0897174358,1187362.8756893168,1109889.4425515847,1066626.498214003
2023-08-03,1043633.4588392519,1175396.7787551,1106590.2960695757,1066190.2429740804
2023-08-04,1042056.4746470789,1175359.469170188,1110630.0160760465,1065235.9648383416
2023-08-07,1052014.8924452881,1179851.1658668856,1124699.2581019925,1077700.9139614066
2023-08-08,1043781.8580666846,1173804.4817790403,1118689.346175759,1073649.575817564
2023-08-09,1042768.0262910909,1166628.7337807866,1109302.4836717672,1070860.3338297196
2023-08-10,1041737.04501461,1170222.0476024286,1113721.2646899342,1069872.264197671
2023-08-11,1041398.7232896006,1175234.5476915184,1116822.0268889535,1070416.443797896
2023-08-14,1041973.9290587942,1183852.6734692324,1122196.4268709654,1068865.5734992237
2023-08-15,1033344.9555248399,1171535.5668887491,1113358.292919679,1061766.9531521453
2023-08-16,1031100.2251665171,1162892.4797215126,1105979.2568154815,1058043.0142942176
2023-08-17,1021751.3931049814,1151796.7215777447,1097156.2308650855,1047734.6428677269
2023-08-18,1023108.0220541407,1155493.6467987427,1099197.646995606,1048900.599186376
2023-08-21,1021807.8498178697,1155560.99326062,1101740.4733228227,1045946.0891259428
2023-08-22,1015395.4791820869,1153040.5871182897,1093820.6658271025,1041973.5755434016
2023-08-23,1015639.6893779442,1159616.4816383398,1098547.7099526825,1043648.851499632
2023-08-24,1002219.9541109202,1147531.0272979871,1088338.7273286283,1033673.9314572983
2023-08-25,1011375.2335040895,1140413.8886919406,1093350.8480019658,1040604.3025515048
2023-08-28,1016173.1310763031,1149731.9969076344,1096954.2425074512,1044003.5062420932
2023-08-29,1029444.81711577,1165515.6054541578,1105350.30919002,1054761.3146557952
2023-08-30,1030474.585628585,1163896.1978552418,1105558.2264307141,1055793.4908211485
2023-08-31,1026937.2315050843,1167539.1991820873,1100114.9536761877,1054825.7444159477
2023-09-01,1031237.8632396653,1176598.4432156163,1102002.2335153287,1057418.4591150002
2023-09-05,1022706.461993272,1163213.008190146,1097552.1613382779,1049905.8853546758
2023-09-06,1020472.5616527519,1156530.6814887435,1090523.5351878088,1047027.9941568284
2023-09-07,1012450.6512378844,1159974.1246396315,1095741.587944537,1047131.4850108542
2023-09-08,1016227.5797531491,1161351.4112955437,1100040.970909818,1049785.6031440685
2023-09-11,1018922.0425935248,1171756.7150905188,1106418.3771741895,1056937.5965372007
2023-09-12,1015619.24959783,1160756.0746198134,1101991.3423320972,1048051.7565893688
2023-09-13,1020705.2947704123,1155505.360518042,1103967.6443840456,1052305.8622629442
2023-09-14,1027816.3484257349,1160415.6055055293,1112146.8047552262,1061049.1346116285
2023-09-15,1016461.5783250197,1145370.4837189077,1100995.5004722662,1048701.3335815936
2023-09-18,1015983.5235111673,1135730.849745829,1099088.245866773,1048130.8701006052
2023-09-19,1013109.9267077353,1137286.3062645944,1095994.6930952966,1046097.6224862027
2023-09-20,1004223.4410631083,1130407.3061574763,1096892.7793487855,1041712.6975412156
2023-09-21,988689.9364055812,1111019.694633124,1085520.7790834624,1029940.0811062944
2023-09-22,982242.7399078812,1108106.3109207381,1082833.3779753782,1024905.483004942
2023-09-25,982996.2589868642,1108919.3965989237,1085520.9785083313,1023801.3133453284
2023-09-26,971009.8390366636,1098251.3833413457,1072150.6898072665,1015082.1428840924
2023-09-27,967384.8074921418,1085884.3672734657,1067921.071902797,1008510.6626086148
2023-09-28,968775.0540333537,1098952.973990071,1074374.2645756968,1009713.5817011108
2023-09-29,984411.026142855,1094003.7405330008,1070392.4979732137,1014846.881946326
2023-10-02,983096.7908994313,1083430.6046411945,1073480.4036398546,1013959.229195924
2023-10-03,974410.0062375653,1067337.1558375792,1057541.953828116,1006053.3373255116
2023-10-05,979697.8372208144,1081213.3689667243,1068308.8590392675,1011776.1670660308
2023-10-06,995515.9882342245,1087415.5917039448,1082237.7408240158,1020726.6545504944
2023-10-09,998406.8179000507,1083369.0541849288,1085620.9013593937,1021873.8995972964
2023-10-10,1000838.883456165,1092541.0925494959,1087051.4335663083,1024969.7246639526
2023-10-11,1006480.2178240691,1096558.4796754122,1094000.690984718,1029607.758247486
2023-10-12,1003643.1367062319,1079146.7078743326,1088210.5839979004,1028986.9241301708
2023-10-13,1011454.9913209332,1073322.3339357113,1089961.1867225466,1034194.4902553264
2023-10-16,1022719.2570520919,1091195.911030277,1100634.875316723,1044758.1056961603
2023-10-17,1025721.6762994789,1095503.502737804,1100261.6600224406,1044711.7782375884
2023-10-18,1023891.5579072346,1063261.636205416,1087710.6434729313,1041710.2189625932
2023-10-19,1017750.5646300972,1051684.900735638,1082859.9215996892,1036146.3534774504
2023-10-20,1011750.0989028463,1036482.5363183006,1071377.7345626596,1027980.4892735158
2023-10-23,1007192.0125588693,1040040.0340631044,1067744.5501788077,1026291.4183192572
2023-10-24,1022554.8881536145,1046254.6168130138,1073302.0664634376,1033168.306705184
2023-10-25,1017876.3169571362,1048075.1039809062,1069481.3492859798,1041012.4762220592
2023-10-26,1003697.9727570239,1045418.5504639405,1061479.5813084086,1023487.4460037926
2023-10-27,993449.8190103025,1031932.2844979945,1056024.797219797,1014627.3085538507
2023-10-30,1015031.5252678476,1041271.971660986,1069567.4619487375,1030621.8413640998
2023-10-31,1026449.1470499597,1048503.9845498556,1077096.6114992083,1037398.5388528046
2023-11-01,1020007.5130187117,1053409.662767971,1082908.652907366,1038608.701057262
2023-11-02,1040006.4963270209,1079080.792724012,1100079.9736929452,1055074.17251865
2023-11-03,1045287.6484558457,1095250.6853114008,1107419.2629519217,1060945.204912615
2023-11-06,1046026.7415723256,1093000.1531400997,1111567.8024199284,1066153.6865644148
2023-11-07,1055061.5499382233,1094593.4101454408,1117496.0779258467,1075079.5477539862
2023-11-08,1051553.0611237674,1100954.7092695117,1118545.861777015,1077786.2906405116
2023-11-09,1044759.4289942536,1090531.2960390649,1112761.3038882976,1069402.1139068748
2023-11-10,1047848.7753884902,1103828.6822414056,1123932.0707612769,1078227.171732303
2023-11-13,1043411.3018056457,1102021.019967811,1123072.2089406853,1073677.4893095964
2023-11-14,1051064.0014459072,1134071.4240983047,1139038.7851792017,1083330.6588641307
2023-11-15,1056397.1348836292,1138284.4035254307,1140113.008017193,1085651.9037270627
2023-11-16,1054943.727076622,1146908.68944817,1146251.6136031467,1093026.12419412
2023-11-17,1048070.4370334094,1154971.6596518897,1144126.5840578221,1083592.9781183037
2023-11-20,1049796.2467058566,1163039.8875563485,1152952.0160534347,1090145.1408496436
2023-11-21,1054417.082435771,1162077.0197676534,1150993.916896169,1090999.4824894876
2023-11-22,1062874.1884430898,1166578.7087706693,1158010.851920732,1100386.230721593
2023-11-24,1066173.458400656,1171576.60189887,1161792.7415539757,1103792.883237782
2023-11-27,1064619.488851449,1170318.6490973362,1159538.1720450353,1101343.3123494538
