date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT,selected_model
2023-01-04,0.0,0.0,32.2936087846756,0.0,38.5189414024353,0.0,100.0,0.0,0.0,0.0,0.0,100.0,12.427520751953125,100.0,0.0,0.0,0.0,0.0,90.68087935447693,0.0,0.0,45.853692293167114,100.0,60.85320711135864,100.0,52.16909646987915,71.32405042648315,78.01254391670227,100.0,31.465277075767517,a2c
2023-01-05,0.0,0.0,32.2936087846756,0.0,38.5189414024353,0.0,100.0,0.0,0.0,0.0,0.0,100.0,12.427520751953125,100.0,0.0,0.0,0.0,0.0,90.68087935447693,0.0,0.0,45.853692293167114,100.0,60.85320711135864,100.0,52.16909646987915,71.32405042648315,78.01254391670227,100.0,31.465277075767517,a2c
2023-01-06,0.0,0.0,32.2936087846756,0.0,38.5189414024353,0.0,100.0,0.0,0.0,0.0,0.0,100.0,12.427520751953125,100.0,0.0,0.0,0.0,0.0,90.68087935447693,0.0,0.0,45.853692293167114,100.0,60.85320711135864,100.0,52.16909646987915,71.32405042648315,78.01254391670227,100.0,31.465277075767517,a2c
2023-01-09,0.0,0.0,32.120537757873535,0.0,38.44638168811798,0.0,100.0,0.0,0.0,0.0,0.0,100.0,12.687352299690247,100.0,0.0,0.0,0.0,0.0,90.86270928382874,0.0,0.0,45.96586227416992,100.0,61.09517216682434,100.0,52.0905077457428,71.39321565628052,77.80088782310486,100.0,31.52276873588562,a2c
2023-01-10,0.0,0.0,27.82561480998993,0.0,38.525861501693726,0.0,100.0,0.0,0.0,0.0,0.0,100.0,18.179544806480408,100.0,0.0,0.0,0.0,0.0,93.46601963043213,0.0,0.0,46.8754768371582,100.0,68.1985855102539,100.0,47.70117104053497,73.67255687713623,70.05034685134888,100.0,33.727070689201355,a2c
2023-01-11,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,93.46601963043213,0.0,0.0,0.0,100.0,0.0,100.0,0.0,23.90921651544191,8.441835633746576e-15,100.0,0.0,a2c
2023-01-12,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,22.580387860484816,0.0,0.0,100.0,-100.0,100.0,-100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,-100.0,-52.57762670516968,-100.0,0.0,0.0,-52.0391583442688,-100.0,0.0,a2c
2023-01-13,0.0,0.0,0.0,0.0,-92.52906739711761,0.0,0.0,0.0,0.0,0.0,99.77836104935193,-100.0,100.0,-100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,-100.0,-58.94155502319336,-100.0,0.0,-1.7204981297254562,-47.720322012901306,-100.0,0.0,a2c
2023-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.421402703152935,-100.0,100.0,-100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,-100.0,-69.60078477859497,-100.0,0.0,-2.4977531284093857,-40.03852903842926,-100.0,0.0,a2c
2023-01-18,0.0,0.0,-2.506120502948761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.16760839603036,-100.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-100.0,-51.29294395446777,-100.0,0.0,-5.088384076952934,-36.83061599731445,-85.91949343681335,100.0,a2c
2023-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.46782250175881,-100.0,100.0,-100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,-100.0,-42.96930432319641,-90.4595673084259,0.0,0.0,-40.53838551044464,-53.06141376495361,100.0,a2c
2023-01-20,0.0,0.0,-21.459516882896423,99.90222454071045,0.0,0.0,4.490436124828478,100.0,0.0,0.0,0.0,-100.0,100.0,-100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,-100.0,-36.47116422653198,-100.0,0.0,0.0,-50.18116235733032,-36.76333427429199,98.1691837310791,a2c
2023-01-23,0.0,0.0,-67.0899510383606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.025774991693133,100.0,0.0,0.0,-9.540432691574097,0.0,-3.630032390356064,-38.01928162574768,0.0,0.0,a2c
2023-01-24,0.0,0.0,-39.33512270450592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6681160898251806,100.0,0.0,0.0,0.0,0.0,0.0,-40.097612142562866,-12.26775199174881,0.0,a2c
2023-01-25,0.0,0.0,-26.43626779317856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.704783230076633e-15,90.92613116114909,0.0,0.0,0.0,0.0,0.0,-36.42379939556122,-12.300015985965729,0.0,a2c
2023-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.961074388211016,0.0,0.0,0.0,0.0,0.0,0.0,-25.708448886871338,0.0,a2c
2023-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.570511378568892,0.0,0.0,0.0,0.0,0.0,0.0,-43.0351585149765,0.0,a2c
2023-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.396204436956843,0.0,0.0,0.0,0.0,0.0,0.0,-30.944383144378662,0.0,a2c
2023-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.225582039674622,0.0,0.0,0.0,0.0,-3.756890445947647,0.0,0.0,0.0,a2c
2023-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.899429451702876,0.0,0.0,0.0,0.0,-6.850556284189224,0.0,0.0,0.0,a2c
2023-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000362338120644,0.0,0.0,0.0,0.0,-0.35881949588656425,0.0,0.0,0.0,a2c
2023-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.74827408882967,0.0,0.0,0.0,0.0,-6.879983097314835,0.0,0.0,0.0,a2c
2023-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.453038261377753,0.0,0.0,0.0,0.0,-3.9397787302732468,0.0,0.0,0.0,a2c
2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.349693923212618,0.0,0.0,0.0,0.0,-3.9397787302732468,0.0,0.0,0.0,a2c
2023-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.300830564854243,0.0,0.0,0.0,0.0,-3.939807042479515,0.0,0.0,0.0,a2c
2023-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.994394989428915,0.0,0.0,0.0,0.0,-3.9393682032823563,0.0,0.0,0.0,a2c
2023-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.505169451534323,0.0,0.0,0.0,0.0,-2.929837629199028,0.0,0.0,0.0,a2c
2023-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.28149204780375,0.0,0.0,0.0,0.0,-2.575070783495903,0.0,0.0,0.0,a2c
2023-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.929823020769042,0.0,0.0,0.0,0.0,-2.574910596013069,0.0,0.0,0.0,a2c
2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.255351185557247,0.0,0.0,0.0,0.0,-2.63114832341671,0.0,0.0,0.0,a2c
2023-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.838000263216463,0.0,0.0,0.0,0.0,-2.824241667985916,0.0,0.0,0.0,a2c
2023-04-05,0.0,0.0,3.496242971934538e-14,2.865915585208116e-46,0.0,0.0,0.0,-38.933223485946655,0.0,0.0,-72.72023558616638,70.08221373917496,2.403992766879437e-30,0.0,0.0,-57.355839014053345,100.0,0.0,-74.35081601142883,100.0,1.7728324289250613e-62,100.0,0.0,100.0,0.0,0.0,-69.06307935714722,0.0,100.0,100.0,a2c
2023-04-06,0.0,0.0,0.0,0.0,0.0,0.0,6.823699106222561,-48.41073453426361,0.0,0.0,-60.94821095466614,0.0,0.0,0.0,0.0,-19.43625807762146,100.0,0.0,-91.460120677948,100.0,0.0,100.0,0.0,100.0,0.0,0.0,-36.675700545310974,0.0,0.0,100.0,a2c
2023-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.694623053073883,0.0,0.0,-64.99073505401611,0.0,0.0,0.0,0.0,-12.825492024421692,42.710783283638854,0.0,-100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,-27.228447794914246,0.0,0.0,100.0,a2c
2023-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.54180678720067,0.0,0.0,-64.99108672142029,0.0,0.0,0.0,0.0,-12.826022505760193,35.571270989024505,0.0,-100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,-27.229011058807373,0.0,0.0,100.0,a2c
2023-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.01968026161194,6.217979554166883,0.0,0.0,0.0,-21.00488245487213,100.0,0.0,-100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,-33.36929976940155,0.0,0.0,100.0,a2c
2023-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.16524607241314,0.0,0.0,0.0,0.0,-21.00488245487213,12.88698555749556,0.0,-100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,-33.36929976940155,0.0,0.0,100.0,a2c
2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.00488245487213,0.0,0.0,-100.0,0.0,0.0,69.32540775289631,0.0,100.0,0.0,0.0,-33.36929976940155,0.0,0.0,100.0,a2c
2023-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.973111152648926,0.0,0.0,-100.0,0.0,0.0,84.39370638026412,0.0,100.0,0.0,0.0,-37.69524395465851,0.0,0.0,100.0,a2c
2023-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.84740874171257,8.691344120798207e-31,0.0,-100.0,4.330160312433863e-15,0.0,19.500934994407274,0.0,100.0,0.0,0.0,-24.870899554064067,0.0,0.0,100.0,a2c
2023-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,26.712913795679828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,a2c
2023-04-20,0.0,0.0,18.11968324904573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.02644991874695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,a2c
2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.792781084775925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.269100473058105,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a2c
2023-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.482378721237183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.042976551703337,a2c
