quarter,train_start,train_end,valid_start,valid_end,trade_start,trade_end,selected_model,turbulence_threshold,ending_cash,ending_portfolio_value,a2c_validation_sharpe,ppo_validation_sharpe,ddpg_validation_sharpe
1,2015-01-01,2022-09-30,2022-10-03,2022-12-30,2023-01-03,2023-04-03,a2c,759.7396986898598,0.0,1031671.3774931147,0.19191088245331092,0.14465059160013458,0.14254619015167616
2,2015-01-01,2022-12-30,2023-01-03,2023-04-03,2023-04-04,2023-07-05,a2c,759.7396986898598,0.0,1067990.5586889514,0.15456376231593924,-0.12856823076588456,0.14611514465746606
3,2015-01-01,2023-04-03,2023-04-04,2023-07-05,2023-07-06,2023-10-03,ppo,759.7396986898598,0.0,1006053.3373255117,0.05651274015276328,0.27059415568689715,0.21417621281353216
4,2015-01-01,2023-07-05,2023-07-06,2023-10-03,2023-10-04,2024-01-03,ddpg,759.7396986898598,0.0,1115555.2740305061,-0.12186567794263847,-0.08573735419448546,-0.08200970865936244
5,2015-01-01,2023-10-03,2023-10-04,2024-01-03,2024-01-04,2024-04-04,ddpg,759.7396986898598,0.0,1067881.778268201,0.35647728953236807,0.4943159635472661,0.6376281689447092
6,2015-01-01,2024-01-03,2024-01-04,2024-04-04,2024-04-05,2024-07-05,ppo,759.7396986898598,0.0,1091240.2961801388,0.10904522741494926,0.3342661444669915,0.23827827603467241
7,2015-01-01,2024-04-04,2024-04-05,2024-07-05,2024-07-08,2024-10-03,ppo,759.7396986898598,0.0,1172984.589637156,0.002796329480927297,0.20808553901633547,0.05722736634435488
8,2015-01-01,2024-07-05,2024-07-08,2024-10-03,2024-10-04,2025-01-03,ddpg,759.7396986898598,0.0,1093296.2404276321,0.2940059078400382,0.3335975324706246,0.3541047880129753
9,2015-01-01,2024-10-03,2024-10-04,2025-01-03,2025-01-06,2025-04-07,a2c,759.7396986898598,0.0,948095.3039142689,0.15277320710019732,0.10723927131612078,0.05973804770651649
10,2015-01-01,2025-01-03,2025-01-06,2025-04-07,2025-04-08,2025-07-09,a2c,759.7396986898598,0.0,1191828.5869986569,-0.22132001014399136,-0.3643150634631135,-0.2988116166402313
11,2015-01-01,2025-04-07,2025-04-08,2025-07-09,2025-07-10,2025-10-07,ppo,759.7396986898598,0.0,1278992.5753316549,0.04644532047783977,0.4343803341636887,0.14794461024320155
12,2015-01-01,2025-07-09,2025-07-10,2025-10-07,2025-10-08,2026-01-07,a2c,759.7396986898598,0.0,1315711.8381608294,0.433028988610783,0.29746713816967274,0.13256552235310834
13,2015-01-01,2025-10-07,2025-10-08,2026-01-07,2026-01-08,2026-04-09,a2c,759.7396986898598,0.0,1332868.9213395298,0.26068057034680675,-0.06239252606140489,0.18756156708400573
14,2015-01-01,2026-01-07,2026-01-08,2026-04-09,2026-04-10,2026-05-19,ppo,759.7396986898598,0.0,1417050.7989004345,-0.1894650385531867,0.03338899529241016,-0.2506853353064851
