model,config_id,candidate_num,params,window,train_end,valid_start,valid_end,validation_sharpe,validation_final_value,validation_total_reward
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",1,2022-09-30,2022-10-03,2022-12-30,0.27488682438651546,1119978.1402103985,119978.1402103985
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",2,2022-12-30,2023-01-03,2023-04-03,0.06402345683598365,1018510.1421385289,18510.14213852887
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",3,2023-04-03,2023-04-04,2023-07-05,-0.04671552066364076,986063.7860231358,-13936.213976864237
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",4,2023-07-05,2023-07-06,2023-10-03,-0.23894922292456275,953747.1997610145,-46252.80023898545
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",5,2023-10-03,2023-10-04,2024-01-03,0.6311146652078873,1143791.4460945262,143791.4460945262
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",6,2024-01-03,2024-01-04,2024-04-04,0.35713156420243863,1072783.2374963611,72783.23749636114
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",7,2024-04-04,2024-04-05,2024-07-05,-0.037252987585437575,990920.2804564207,-9079.719543579267
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",8,2024-07-05,2024-07-08,2024-10-03,0.48261699360598875,1138209.6337533507,138209.6337533507
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",9,2024-10-03,2024-10-04,2025-01-03,-0.057074828090990876,977079.9362544741,-22920.06374552589
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",10,2025-01-03,2025-01-06,2025-04-07,-0.37042170737732943,868860.1336877695,-131139.86631223047
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",11,2025-04-07,2025-04-08,2025-07-09,0.5929068905052599,1220969.6126941852,220969.61269418523
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",12,2025-07-09,2025-07-10,2025-10-07,0.14371391108660425,1028194.1384692909,28194.13846929092
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",13,2025-10-07,2025-10-08,2026-01-07,0.25827953301385614,1083399.3755002655,83399.37550026551
a2c,a2c_ab0941bd,1,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",14,2026-01-07,2026-01-08,2026-04-09,-0.07499094642494812,965048.9268962936,-34951.07310370635
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",1,2022-09-30,2022-10-03,2022-12-30,0.33911123731613746,1152053.6244789565,152053.62447895645
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",2,2022-12-30,2023-01-03,2023-04-03,0.15263296596288806,1048337.1835735082,48337.18357350817
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",3,2023-04-03,2023-04-04,2023-07-05,0.2739051515186892,1066646.8435965842,66646.84359658416
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",4,2023-07-05,2023-07-06,2023-10-03,-0.14945819708354713,957946.1164070973,-42053.88359290268
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",5,2023-10-03,2023-10-04,2024-01-03,0.4275554998821753,1120064.7623649281,120064.76236492814
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",6,2024-01-03,2024-01-04,2024-04-04,0.35174364676935865,1084790.155433843,84790.15543384291
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",7,2024-04-04,2024-04-05,2024-07-05,-0.02389854738743442,989716.559511396,-10283.440488604014
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",8,2024-07-05,2024-07-08,2024-10-03,0.12287655507552576,1038615.7164997625,38615.71649976249
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",9,2024-10-03,2024-10-04,2025-01-03,0.07217077287248609,1014410.3179354019,14410.317935401925
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",10,2025-01-03,2025-01-06,2025-04-07,-0.35432843466148606,840509.9935315636,-159490.00646843645
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",11,2025-04-07,2025-04-08,2025-07-09,0.5971763730397636,1220566.881396602,220566.8813966019
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",12,2025-07-09,2025-07-10,2025-10-07,0.19963495923848296,1034053.2823756987,34053.282375698676
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",13,2025-10-07,2025-10-08,2026-01-07,0.3327774399024721,1122667.2181635362,122667.21816353616
a2c,a2c_21d88d24,2,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",14,2026-01-07,2026-01-08,2026-04-09,-0.08980840516847162,976794.4979161419,-23205.502083858126
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",1,2022-09-30,2022-10-03,2022-12-30,0.20656598223733677,1076670.6347538661,76670.63475386612
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",2,2022-12-30,2023-01-03,2023-04-03,0.005218089474856614,999124.8201811161,-875.1798188838875
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",3,2023-04-03,2023-04-04,2023-07-05,0.01448768787044186,1000660.8785754929,660.8785754928831
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",4,2023-07-05,2023-07-06,2023-10-03,-0.26378489955551343,946212.653604599,-53787.34639540105
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",5,2023-10-03,2023-10-04,2024-01-03,0.49520190560854893,1101617.9854506776,101617.98545067757
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",6,2024-01-03,2024-01-04,2024-04-04,0.19049339614998625,1039550.1787031592,39550.17870315921
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",7,2024-04-04,2024-04-05,2024-07-05,-0.025026782850501087,991262.8442219448,-8737.155778055196
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",8,2024-07-05,2024-07-08,2024-10-03,0.2845400858559383,1075844.7761702826,75844.77617028262
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",9,2024-10-03,2024-10-04,2025-01-03,0.039633385157371484,1007613.4669910828,7613.466991082765
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",10,2025-01-03,2025-01-06,2025-04-07,-0.26712227460462035,894148.8687418778,-105851.13125812216
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",11,2025-04-07,2025-04-08,2025-07-09,0.20135917737768083,1094621.2918177461,94621.29181774613
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",12,2025-07-09,2025-07-10,2025-10-07,0.23106254692497083,1054139.7193625676,54139.719362567645
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",13,2025-10-07,2025-10-08,2026-01-07,0.31375393619880726,1089229.2015514777,89229.20155147766
a2c,a2c_e4871e78,3,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",14,2026-01-07,2026-01-08,2026-04-09,-0.054545793463999785,974677.0945485018,-25322.905451498227
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",1,2022-09-30,2022-10-03,2022-12-30,0.3488199701570523,1149034.881326797,149034.88132679695
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",2,2022-12-30,2023-01-03,2023-04-03,0.033466121542860904,1007225.8630218373,7225.863021837315
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",3,2023-04-03,2023-04-04,2023-07-05,-0.0008230727239392366,995925.1980302897,-4074.801969710272
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",4,2023-07-05,2023-07-06,2023-10-03,-0.12398367373011163,970651.0282917691,-29348.971708230907
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",5,2023-10-03,2023-10-04,2024-01-03,0.43781592593835955,1113197.5149705855,113197.51497058547
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",6,2024-01-03,2024-01-04,2024-04-04,0.5068115757224654,1111141.9123077146,111141.91230771458
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",7,2024-04-04,2024-04-05,2024-07-05,0.2516432536426126,1062412.8475413024,62412.84754130244
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",8,2024-07-05,2024-07-08,2024-10-03,0.3338918974270803,1083863.7146827076,83863.71468270756
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",9,2024-10-03,2024-10-04,2025-01-03,0.12874809038099208,1032034.1762915557,32034.17629155575
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",10,2025-01-03,2025-01-06,2025-04-07,-0.11736875064456617,950183.9018556388,-49816.09814436118
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",11,2025-04-07,2025-04-08,2025-07-09,0.5227308690929139,1190857.5538738077,190857.55387380766
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",12,2025-07-09,2025-07-10,2025-10-07,0.3559673970720399,1108549.528984218,108549.5289842179
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",13,2025-10-07,2025-10-08,2026-01-07,0.4027221333120368,1125531.7334896799,125531.73348967987
a2c,a2c_cd18b9ba,4,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",14,2026-01-07,2026-01-08,2026-04-09,0.039072236153775225,1012574.6167842698,12574.616784269805
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",1,2022-09-30,2022-10-03,2022-12-30,0.2023782124059479,1085919.3072396037,85919.30723960372
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",2,2022-12-30,2023-01-03,2023-04-03,0.07796959794709542,1021639.1324621758,21639.132462175803
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",3,2023-04-03,2023-04-04,2023-07-05,0.17294535254304855,1039011.3016988282,39011.30169882823
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",4,2023-07-05,2023-07-06,2023-10-03,-0.1699434256971433,964100.6444271884,-35899.35557281156
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",5,2023-10-03,2023-10-04,2024-01-03,0.6058239949618676,1140358.419586106,140358.41958610597
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",6,2024-01-03,2024-01-04,2024-04-04,0.13390827430033064,1025692.9795994381,25692.979599438142
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",7,2024-04-04,2024-04-05,2024-07-05,-0.011881334458563573,995591.5908450026,-4408.40915499744
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",8,2024-07-05,2024-07-08,2024-10-03,0.27288179967920556,1064957.8424578283,64957.842457828345
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",9,2024-10-03,2024-10-04,2025-01-03,-0.04585443574010932,983789.529384531,-16210.470615469036
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",10,2025-01-03,2025-01-06,2025-04-07,-0.25452349316649453,907341.1717306459,-92658.82826935407
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",11,2025-04-07,2025-04-08,2025-07-09,0.15746527388090395,1078081.1748589277,78081.17485892773
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",12,2025-07-09,2025-07-10,2025-10-07,0.17545607089181,1030936.2730266534,30936.27302665345
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",13,2025-10-07,2025-10-08,2026-01-07,0.15126462693061773,1034302.1005321993,34302.100532199256
ddpg,ddpg_09b5e45f,1,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",14,2026-01-07,2026-01-08,2026-04-09,-0.33541965000300217,903493.1898244487,-96506.81017555133
ddpg,ddpg_29e7cf1e,2,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",1,2022-09-30,2022-10-03,2022-12-30,0.2023782124059479,1085919.3072396037,85919.30723960372
ddpg,ddpg_29e7cf1e,2,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",2,2022-12-30,2023-01-03,2023-04-03,0.07796959794709542,1021639.1324621758,21639.132462175803
ddpg,ddpg_29e7cf1e,2,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",3,2023-04-03,2023-04-04,2023-07-05,0.17294535254304855,1039011.3016988282,39011.30169882823
ddpg,ddpg_29e7cf1e,2,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",4,2023-07-05,2023-07-06,2023-10-03,-0.1699434256971433,964100.6444271884,-35899.35557281156
ddpg,ddpg_29e7cf1e,2,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",5,2023-10-03,2023-10-04,2024-01-03,0.6058239949618676,1140358.419586106,140358.41958610597
ddpg,ddpg_29e7cf1e,2,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",6,2024-01-03,2024-01-04,2024-04-04,0.13390827430033064,1025692.9795994381,25692.979599438142
ddpg,ddpg_29e7cf1e,2,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",7,2024-04-04,2024-04-05,2024-07-05,-0.011881334458563573,995591.5908450026,-4408.40915499744
ddpg,ddpg_29e7cf1e,2,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",8,2024-07-05,2024-07-08,2024-10-03,0.27288179967920556,1064957.8424578283,64957.842457828345
ddpg,ddpg_29e7cf1e,2,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",9,2024-10-03,2024-10-04,2025-01-03,-0.04585443574010932,983789.529384531,-16210.470615469036
ddpg,ddpg_29e7cf1e,2,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",10,2025-01-03,2025-01-06,2025-04-07,-0.25452349316649453,907341.1717306459,-92658.82826935407
ddpg,ddpg_29e7cf1e,2,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",11,2025-04-07,2025-04-08,2025-07-09,0.15746527388090395,1078081.1748589277,78081.17485892773
ddpg,ddpg_29e7cf1e,2,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",12,2025-07-09,2025-07-10,2025-10-07,0.17545607089181,1030936.2730266534,30936.27302665345
ddpg,ddpg_29e7cf1e,2,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",13,2025-10-07,2025-10-08,2026-01-07,0.15126462693061773,1034302.1005321993,34302.100532199256
