model,config_id,params,mean_validation_sharpe,median_validation_sharpe,std_validation_sharpe,mean_validation_final_value,mean_validation_total_reward,windows
a2c,a2c_cd18b9ba,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 10}",0.222822426667398,0.29276757553484645,0.22539585564655207,1065227.4622465838,65227.46224658378,14
a2c,a2c_21d88d24,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 10}",0.16086364409121715,0.1761339626006855,0.2544390404504702,1047655.2252275014,47655.22522750141,14
a2c,a2c_ab0941bd,"{""gamma"": 0.99, ""learning_rate"": 0.0007, ""n_steps"": 5}",0.14137633041268746,0.10386868396129395,0.3043617196436435,1040539.713531144,40539.713531143956,14
a2c,a2c_e4871e78,"{""gamma"": 0.99, ""learning_rate"": 0.001, ""n_steps"": 5}",0.09798831731295032,0.11506339065367888,0.21651870172993506,1024669.6010481708,24669.60104817086,14
ddpg,ddpg_b15b8e67,"{""batch_size"": 128, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.3}",0.12550318493252752,0.15931759610687093,0.2594449391967542,1030985.4741277051,30985.474127705085,14
ddpg,ddpg_2f9e6d4a,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.0003, ""noise_sigma"": 0.5}",0.10768219418777192,0.14245150180063282,0.21857983045422508,1024048.8569179319,24048.856917931957,14
ddpg,ddpg_09b5e45f,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",0.08089077603396531,0.1425864506154742,0.23723287950128413,1019658.189833827,19658.189833826942,14
ddpg,ddpg_29e7cf1e,"{""batch_size"": 64, ""buffer_size"": 50000, ""gamma"": 0.99, ""learning_rate"": 0.001, ""noise_sigma"": 0.5}",0.08089077603396531,0.1425864506154742,0.23723287950128413,1019658.189833827,19658.189833826942,14
ppo,ppo_65c42095,"{""batch_size"": 64, ""ent_coef"": 0.005, ""gamma"": 0.99, ""learning_rate"": 0.0003, ""n_steps"": 512}",0.22955475934776765,0.2405830220642384,0.26882940572730063,1066557.2127552482,66557.21275524811,14
ppo,ppo_333d8ec9,"{""batch_size"": 64, ""ent_coef"": 0.005, ""gamma"": 0.99, ""learning_rate"": 0.0001, ""n_steps"": 512}",0.17770007640223387,0.251976657441895,0.22847214695927112,1045931.7163206034,45931.71632060347,14
ppo,ppo_7535b29e,"{""batch_size"": 128, ""ent_coef"": 0.005, ""gamma"": 0.99, ""learning_rate"": 0.0003, ""n_steps"": 512}",0.1749998795143141,0.20618544724879778,0.2705776082344083,1045135.975603468,45135.97560346813,14
ppo,ppo_16b5056c,"{""batch_size"": 64, ""ent_coef"": 0.005, ""gamma"": 0.99, ""learning_rate"": 0.0003, ""n_steps"": 1024}",0.15273067380369215,0.24464443400509106,0.272863829279444,1040646.5026135717,40646.50261357173,14
