,min_var_weight
AAPL,6.315072660612393e-18
AMGN,0.0
AMZN,0.0722308969900127
AXP,0.0
BA,3.056060456492269e-18
CAT,3.8552360422267014e-18
CRM,0.0
CSCO,0.0
CVX,4.104541683803886e-18
DIS,0.008224160235727201
GS,0.0
HD,5.182704743566129e-18
HON,3.6237017780306775e-18
IBM,0.0
JNJ,0.12889560383267326
JPM,0.0
KO,0.13860580962191407
MCD,0.09524756670513651
MMM,0.019083546411598293
MRK,0.05667487844234092
MSFT,0.0
NKE,0.00450421154696982
NVDA,0.0
PG,0.06846824591070111
SHW,0.0
TRV,6.6871135194442665e-19
UNH,1.1596683986143508e-18
V,0.0
VZ,0.2610453521556956
WMT,0.14701972814723052
