quarter,trade_start,trade_end,selected_model,selected_candidate_id,selected_validation_days,selected_timesteps,selected_kwargs,ending_cash,ending_holdings,ending_portfolio_value,a2c_candidate_id,a2c_validation_days,a2c_timesteps,a2c_latest_validation_sharpe,ppo_candidate_id,ppo_validation_days,ppo_timesteps,ppo_latest_validation_sharpe,ddpg_candidate_id,ddpg_validation_days,ddpg_timesteps,ddpg_latest_validation_sharpe
1,2023-01-03,2023-04-03,ddpg,ddpg_author_fallback,63,10000,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""noise_sigma"": 0.5}",0.0,"[0.0, 0.0, 0.0, 400.0, 400.0, 0.0, 0.0, 400.0, 0.0, 400.0, 0.0, 0.0, 415.59109308321223, 500.0, 0.0, 500.0, 500.0, 0.0, 0.0, 500.0, 500.0, 500.0, 500.0, 0.0, 500.0, 0.0, 500.0, 0.0, 0.0, 0.0]",1030508.1383998701,a2c_author_fallback,63,30000,0.20567697237843766,ppo_author_fallback,63,100000,0.2196313275269261,ddpg_author_fallback,63,10000,0.26539153299613266
2,2023-04-04,2023-07-05,ppo,ppo_e4290e54,126,100000,"{""batch_size"": 64, ""ent_coef"": 0.005, ""gamma"": 0.99, ""n_steps"": 512}",0.0,"[1132.95354466314, 0.0, 870.9450557501233, 119.67017082497478, 399.792723916471, 0.0, 0.0, 289.15649577975273, 0.0, 343.92394348978996, 0.0, 0.0, 0.0, 0.0, 0.0, 572.1853680018908, 0.0, 0.0, 0.0, 1445.9138362984627, 579.5547554875435, 0.0, 0.0, 0.0, 0.0, 167.6213835099467, 395.9691733121872, 0.0, 11.325380404750415, 0.0]",1102019.324380376,a2c_aee7d73f,126,10000,0.1624313131418694,ppo_e4290e54,126,100000,0.23557419110724437,ddpg_cfec8cb3,126,10000,0.14207951136065491
3,2023-07-06,2023-10-03,ppo,ppo_e4290e54,126,100000,"{""batch_size"": 64, ""ent_coef"": 0.005, ""gamma"": 0.99, ""n_steps"": 512}",0.0,"[1017.0104261259694, 1016.1389065329772, 2553.5422153347936, 0.0, 0.0, 0.0, 0.0, 836.1044117287764, 0.0, 0.0, 0.0, 0.0, 388.96949887275696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 228.2166270213844, 0.0, 0.0, 706.6088474535213, 0.0, 0.0, 0.0, 91.37345636791095, 48.7295845647255, 865.2047947049141]",1072167.6722585165,a2c_aee7d73f,126,10000,0.17771910805114166,ppo_e4290e54,126,100000,0.2071448640371396,ddpg_cfec8cb3,126,10000,0.09517506591899963
4,2023-10-04,2024-01-03,ppo,ppo_e4290e54,126,100000,"{""batch_size"": 64, ""ent_coef"": 0.005, ""gamma"": 0.99, ""n_steps"": 512}",0.0,"[1017.0104261259694, 1018.6355323687618, 2357.970798415674, 0.0, 0.0, 0.0, 0.0, 781.9083811753461, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.475491166114807, 0.0, 0.0, 0.0, 400.5070024848251, 0.0, 0.0, 776.6522437181804, 0.0, 0.0, 0.0, 0.0, 48.729584564725535, 1852.8997185092232]",1208930.9583625752,a2c_aee7d73f,126,10000,0.08497748058513457,ppo_e4290e54,126,100000,0.1824546626205802,ddpg_cfec8cb3,126,10000,-0.0047392498268113625
5,2024-01-04,2024-04-04,ddpg,ddpg_db4c7149,126,10000,"{""batch_size"": 64, ""buffer_size"": 10000, ""gamma"": 0.99, ""noise_sigma"": 0.5}",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 781.9083811753461, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.475491166114807, 0.0, 0.0, 2.0647781197104963e-15, 403.7352245526936, 100.0, 174.5261989433371, 0.0, 904.1311396539503, 0.0, 1528.9248151103052, 0.0, 0.0, 0.0]",1186555.5454806306,a2c_09f4a573,126,30000,0.27720973193641496,ppo_020fdc27,126,50000,0.2203133508785595,ddpg_db4c7149,126,10000,0.2877191930396337
6,2024-04-05,2024-07-05,ppo,ppo_020fdc27,126,50000,"{""batch_size"": 64, ""ent_coef"": 0.005, ""gamma"": 0.99, ""n_steps"": 512}",0.0,"[1.9692083365293702, 0.0, 0.0, 0.0, 0.0, 111.78466251043416, 0.0, 535.9652209133873, 0.0, 0.0, 0.0, 399.3544716265641, 0.0, 0.0, 0.0, 0.0, 0.0, 88.55057169474999, 0.0, 0.0, 403.7352245526936, 74.8013112694025, 1.3753417778812889, 0.0, 355.41669896545943, 37.94071810139247, 1528.9248151103052, 0.0, 0.0, 4.332662763133634e-14]",1229610.8326412612,a2c_aee7d73f,126,10000,-0.007675465198816692,ppo_020fdc27,126,50000,0.4496204624608758,ddpg_db4c7149,126,10000,0.4401245244563851
7,2024-07-08,2024-10-03,a2c,a2c_09f4a573,126,30000,"{""gamma"": 0.99}",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 3.896738010609739e-63, 0.0, 635.4292023033867, 0.0, 613.8789900248744, 0.0, 0.0, 1252.122361860632, 0.0, 0.0, 10.861647129058838, 0.0, 0.0, 1990.2222527344409, 15.40900319814682, 0.0, 17.585918307304382, 2322.789020442598, 0.0, 0.0, 0.0, 0.0, 1392.7539992867096, 4425.753380397742, 0.0]",1426922.8039674112,a2c_09f4a573,126,30000,0.4372035174975703,ppo_020fdc27,126,50000,0.18348065585893863,ddpg_db4c7149,126,10000,0.17009597099872048
8,2024-10-04,2025-01-03,ppo,ppo_020fdc27,126,50000,"{""batch_size"": 64, ""ent_coef"": 0.005, ""gamma"": 0.99, ""n_steps"": 512}",0.0,"[0.0, 0.0, 779.9240217811986, 0.0, 0.0, 3.896738010609739e-63, 0.0, 549.2099783887187, 0.0, 603.1832742174961, 0.0, 0.0, 1252.122361860632, 0.0, 0.0, 47.09372549950343, 0.0, 0.0, 2047.0280541260424, 0.0, 12.661933463903244, 0.0, 2008.9776085477401, 1108.8970330193413, 0.0, 0.0, 2.0827384713794443e-16, 356.4630958972557, 4425.753380397742, 0.0]",1546025.4559865815,a2c_aee7d73f,126,10000,0.28165673267993513,ppo_020fdc27,126,50000,0.31080689343444606,ddpg_db4c7149,126,10000,0.2573434420282512
9,2025-01-06,2025-04-07,a2c,a2c_aee7d73f,126,10000,"{""gamma"": 0.99}",0.0,"[0.0, 0.0, 779.9240217811986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1252.122361860632, 0.0, 0.0, 306.2588205038576, 0.0, 0.0, 2047.0280541260424, 0.0, 12.661933463903244, 0.0, 2008.9776085477401, 1108.8970330193413, 18.309622530631767, 0.0, 54.58642463400825, 356.4630958972557, 4425.753380397742, 0.0]",1364892.5140243382,a2c_aee7d73f,126,10000,0.23939010366561575,ppo_e4290e54,126,100000,0.15012884364841406,ddpg_db4c7149,126,10000,0.1175699725638802
10,2025-04-08,2025-07-09,a2c,a2c_aee7d73f,126,10000,"{""gamma"": 0.99}",0.0,"[0.0, 0.0, 746.5025280870124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2222.180440949671, 0.0, 9.362590460323399e-48, 0.0, 0.0, 0.0, 2047.0280541260424, 16.47781160714423, 0.0, 0.0, 1936.6999018725087, 0.0, 111.25278982650194, 0.0, 0.0, 504.7930737801859, 3483.6696938075474, 766.6387072683987]",1717918.0513226825,a2c_aee7d73f,126,10000,-0.18230892421067493,ppo_020fdc27,126,50000,-0.22714608046624596,ddpg_db4c7149,126,10000,-0.19249478058330713
