seed,quarter,train_end,valid_start,valid_end,trade_start,trade_end,selected_model,a2c_validation_sharpe,ppo_validation_sharpe,ddpg_validation_sharpe,ending_portfolio_value
1,1,2022-09-30,2022-10-03,2022-12-30,2023-01-03,2023-04-03,a2c,0.3066500039111113,0.2816553050117869,0.27683255716198557,995117.7795656722
1,2,2022-12-30,2023-01-03,2023-04-03,2023-04-04,2023-07-05,ddpg,-0.007816713023899335,-0.03800454511095885,0.08502158305418339,979066.6376487858
1,3,2023-04-03,2023-04-04,2023-07-05,2023-07-06,2023-10-03,ddpg,-0.0072650555218276335,-0.11396114009334005,0.213622600029067,980344.594434628
1,4,2023-07-05,2023-07-06,2023-10-03,2023-10-04,2024-01-03,a2c,-0.1763933691573745,-0.20608637043177994,-0.2091952839564715,1139741.877239419
1,5,2023-10-03,2023-10-04,2024-01-03,2024-01-04,2024-04-04,ddpg,0.6085938704848709,0.536437560511469,0.6525078127239224,1139458.9744077607
1,6,2024-01-03,2024-01-04,2024-04-04,2024-04-05,2024-07-05,a2c,0.23310405944432927,0.1577471974645724,0.019256675607775265,1185552.5507337244
1,7,2024-04-04,2024-04-05,2024-07-05,2024-07-08,2024-10-03,ppo,0.01724616131564627,0.3480893549704708,0.1053193866298988,1393140.1828468333
1,8,2024-07-05,2024-07-08,2024-10-03,2024-10-04,2025-01-03,a2c,0.484166237135729,0.13228429092708432,0.18191608187702094,1355826.2720861498
1,9,2024-10-03,2024-10-04,2025-01-03,2025-01-06,2025-04-07,ddpg,0.10685645378202353,0.020859310341322147,0.3002330020548818,1229947.5351998713
1,10,2025-01-03,2025-01-06,2025-04-07,2025-04-08,2025-07-09,a2c,-0.05919227860150983,-0.31428244765259533,-0.33679749653785623,1505525.1718852604
1,11,2025-04-07,2025-04-08,2025-07-09,2025-07-10,2025-10-07,ddpg,0.15138712294877418,0.1916298508800182,0.42216242755774197,1564502.9759483174
1,12,2025-07-09,2025-07-10,2025-10-07,2025-10-08,2026-01-07,a2c,0.39632371379459924,0.2881680713734321,0.24314438342912387,1667541.0947175606
1,13,2025-10-07,2025-10-08,2026-01-07,2026-01-08,2026-04-09,a2c,0.36756840372009436,0.34299972399765094,0.30957803144493484,1783639.852398146
1,14,2026-01-07,2026-01-08,2026-04-09,2026-04-10,2026-05-15,ppo,-0.20754492658757673,-0.05331018788230122,-0.14261250871150455,1755575.2150489301
2,1,2022-09-30,2022-10-03,2022-12-30,2023-01-03,2023-04-03,a2c,0.38225726966728524,0.1792257788684356,0.07982446286343568,977883.3674631366
2,2,2022-12-30,2023-01-03,2023-04-03,2023-04-04,2023-07-05,ddpg,0.06124390676651988,0.04104489329514725,0.20238839281770032,981622.9773794205
2,3,2023-04-03,2023-04-04,2023-07-05,2023-07-06,2023-10-03,a2c,0.3043412392402562,0.08797502628117486,0.14985200024615766,957340.3485090844
2,4,2023-07-05,2023-07-06,2023-10-03,2023-10-04,2024-01-03,ddpg,-0.19026978772639183,-0.3556798377194858,-0.18772458804192096,1104922.5743547033
2,5,2023-10-03,2023-10-04,2024-01-03,2024-01-04,2024-04-04,ddpg,0.4726682161934907,0.4756179678237145,0.6219289710451448,1020866.0651990479
2,6,2024-01-03,2024-01-04,2024-04-04,2024-04-05,2024-07-05,a2c,0.2079436265083783,0.11054390481501049,0.09236771886988862,1099606.1801422334
2,7,2024-04-04,2024-04-05,2024-07-05,2024-07-08,2024-10-03,a2c,0.21956039804287716,0.0459446673478412,0.11441113933710352,1266406.324909783
2,8,2024-07-05,2024-07-08,2024-10-03,2024-10-04,2025-01-03,ddpg,0.28435336805504463,0.10475929955337028,0.41159254608401313,1171343.9342285218
2,9,2024-10-03,2024-10-04,2025-01-03,2025-01-06,2025-04-07,ddpg,-0.10728882327215324,-0.14564860572956947,0.06389847341009144,1128622.726406697
2,10,2025-01-03,2025-01-06,2025-04-07,2025-04-08,2025-07-09,ddpg,-0.315216887854814,-0.3575141484960475,-0.2599375722357415,868504.7998014065
2,11,2025-04-07,2025-04-08,2025-07-09,2025-07-10,2025-10-07,ppo,0.4694889072272495,0.5124716913124849,0.2116669840888619,983155.7614623896
2,12,2025-07-09,2025-07-10,2025-10-07,2025-10-08,2026-01-07,ppo,0.23728918974735344,0.3982716668241377,0.2657711263010577,1004700.178302432
2,13,2025-10-07,2025-10-08,2026-01-07,2026-01-08,2026-04-09,ppo,0.2820928204875484,0.28792521142920185,0.21554885869792745,909789.1016872963
2,14,2026-01-07,2026-01-08,2026-04-09,2026-04-10,2026-05-15,ppo,-0.02109649036823403,-0.004889412247617064,-0.26193039060735485,1004531.744452744
3,1,2022-09-30,2022-10-03,2022-12-30,2023-01-03,2023-04-03,ppo,0.292045986444069,0.3524660847719173,0.2901064707950255,1001125.4521742865
3,2,2022-12-30,2023-01-03,2023-04-03,2023-04-04,2023-07-05,a2c,0.11508886076167957,0.0533059547810622,-0.006539660432647179,1058750.1998934937
3,3,2023-04-03,2023-04-04,2023-07-05,2023-07-06,2023-10-03,a2c,0.3619108404501336,0.24280969115661966,0.2378595386339243,1025355.9759957559
3,4,2023-07-05,2023-07-06,2023-10-03,2023-10-04,2024-01-03,a2c,-0.15221396352613376,-0.1580500368934277,-0.17068177176258031,1193469.2985947144
3,5,2023-10-03,2023-10-04,2024-01-03,2024-01-04,2024-04-04,a2c,0.6706994475931398,0.6062400755607087,0.5887661517345462,1461174.6137074651
3,6,2024-01-03,2024-01-04,2024-04-04,2024-04-05,2024-07-05,a2c,0.4433726693188506,0.26342784347855996,0.3103017812155535,1720724.136006635
3,7,2024-04-04,2024-04-05,2024-07-05,2024-07-08,2024-10-03,ppo,0.16082351437198705,0.2633028976026398,0.08127644229285139,1753008.7259395125
3,8,2024-07-05,2024-07-08,2024-10-03,2024-10-04,2025-01-03,a2c,0.35839983774061857,0.11643813803099753,0.33422084686593573,1927699.0618849033
3,9,2024-10-03,2024-10-04,2025-01-03,2025-01-06,2025-04-07,ppo,-0.07450983110290661,0.15423379962303066,0.11265667379797142,1623599.3740178288
3,10,2025-01-03,2025-01-06,2025-04-07,2025-04-08,2025-07-09,a2c,-0.2305916181508999,-0.33553422553351697,-0.2725476823725491,2190625.690156575
3,11,2025-04-07,2025-04-08,2025-07-09,2025-07-10,2025-10-07,ppo,0.4759668528992644,0.6440267927492889,0.3401607721072483,2363147.3750739754
3,12,2025-07-09,2025-07-10,2025-10-07,2025-10-08,2026-01-07,a2c,0.3611728742923497,0.07546006659213096,0.2724481817301306,2467202.098748887
3,13,2025-10-07,2025-10-08,2026-01-07,2026-01-08,2026-04-09,ddpg,0.20654431046253,0.16220694824555923,0.3075860547568184,2419976.637952169
3,14,2026-01-07,2026-01-08,2026-04-09,2026-04-10,2026-05-15,ddpg,-0.06608327418977375,-0.04701543446872885,0.052480437565492935,2467697.9515643613
4,1,2022-09-30,2022-10-03,2022-12-30,2023-01-03,2023-04-03,ppo,0.18894325126195957,0.3537132860003998,0.2332877675503173,971405.2296573956
4,2,2022-12-30,2023-01-03,2023-04-03,2023-04-04,2023-07-05,ppo,0.0889134048331848,0.09000018781812684,0.0036923331246789854,994884.4657910713
4,3,2023-04-03,2023-04-04,2023-07-05,2023-07-06,2023-10-03,ppo,0.20370686543893735,0.3610461979191271,0.10434854900683421,972628.6513110021
